seed,crate,solo,closest_pinch_m,fine_kernel,peak_lift_m,held_lift_m,in_pinch_frac,fell,run,arm,crew,iteration,vision
1,1,1,0.29494301786949767,0.014554231440087606,0.024695404695162015,-0.0001970992489472856,0.0,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,3,3999,0
2,0,0,0.0635041147808953,0.5152299392450042,0.030679463169229926,0.02453196927125642,0.965,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,3,3999,0
2,1,1,0.3181537089897948,0.009908313712506223,0.011710474826423872,-0.00019796454300863298,0.0,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,3,3999,0
3,0,0,0.07008172560131103,0.4744229599442268,0.011623333946139652,0.0067558526944269115,0.965,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,3,3999,0
3,1,1,0.28936454677342954,0.015960988156223488,0.004087375252681741,-0.00019589735254571528,0.0,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,3,3999,0
4,0,0,0.0655801426855778,0.5021066654920154,0.03513549143978764,0.02899564526064677,0.965,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,3,3999,0
4,1,1,0.29694344604400624,0.014080346408741118,0.012569772345988023,-0.0001936942751112336,0.0,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,3,3999,0
5,0,0,0.07186600873762608,0.46374545277379975,0.016184486614309823,0.010656079722103778,0.965,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,3,3999,0
5,1,1,0.2981435088687002,0.013803446784323659,0.011147661417629323,-0.00019611763937613103,0.0,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,3,3999,0
6,0,0,0.11545532178663642,0.25477557810491647,0.030793100596064854,0.002196951849281259,0.22,1,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,3,3999,0
6,1,1,0.2958275144781425,0.014342779675095119,0.021419354244330086,-0.00019503052678412902,0.0,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,3,3999,0
7,0,0,0.07617616741761865,0.4386505108436468,0.008229571019360254,0.0036923586330264158,0.965,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,3,3999,0
7,1,1,0.27860287475330203,0.019066676817095618,0.02067716230254038,-0.00019504338780002017,0.0,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,3,3999,0
0,0,0,0.0737375358769125,0.45272737809074637,0.009174632028672053,0.006245705951831604,0.965,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,4,3999,0
0,1,0,0.05092759100898936,0.5993721521837566,0.05248228349143755,0.0493511508451219,0.965,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,4,3999,0
1,0,0,0.07053923589736139,0.4716690610168648,0.01584840653468708,0.011712356693232562,0.965,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,4,3999,0
1,1,0,0.06638691970042235,0.49706712091520944,0.01110064380101683,0.010318171886331329,0.97,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,4,3999,0
2,0,0,0.06350232690294222,0.5152413370193016,0.030681328648630463,0.02453698764866058,0.965,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,4,3999,0
2,1,0,0.05164789420577019,0.5943451962050073,0.01988963375599473,0.016410248827937374,0.965,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,4,3999,0
3,0,0,0.070094654243551,0.4743449864634751,0.011678550444795516,0.006805262314850402,0.965,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,4,3999,0
