seed,crate,solo,closest_pinch_m,fine_kernel,peak_lift_m,held_lift_m,in_pinch_frac,fell,run,arm,crew,iteration,vision
1,0,0,0.3315990493649247,0.007927044274245287,0.030699809666440564,-0.00019200252419848685,0.0,1,2026-08-24_08-17-01_coop-occluded-depth-s0,08-17-01_coop-occluded-depth-s0,2,15999,1
2,0,0,0.3303359320105173,0.00809501041861349,0.0282418106015892,-0.00018412351751825873,0.0,1,2026-08-24_08-17-01_coop-occluded-depth-s0,08-17-01_coop-occluded-depth-s0,2,15999,1
3,0,0,0.32831332034558786,0.008371384727796194,0.0,-0.0001841235175181477,0.0,1,2026-08-24_08-17-01_coop-occluded-depth-s0,08-17-01_coop-occluded-depth-s0,2,15999,1
4,0,0,0.32945290396372634,0.008214533815495528,0.02269998501789816,-0.00018412351751817546,0.0,1,2026-08-24_08-17-01_coop-occluded-depth-s0,08-17-01_coop-occluded-depth-s0,2,15999,1
5,0,0,0.32628686737655477,0.008657705674545269,0.02109062036029627,-0.00018240471399336156,0.0,1,2026-08-24_08-17-01_coop-occluded-depth-s0,08-17-01_coop-occluded-depth-s0,2,15999,1
6,0,0,0.3194828026550604,0.009692294168995086,0.011459935782264258,-0.00018412351751825873,0.0,1,2026-08-24_08-17-01_coop-occluded-depth-s0,08-17-01_coop-occluded-depth-s0,2,15999,1
7,0,0,0.32748217567063453,0.008487659947605808,5.002077367305402e-05,-0.00018412351751800893,0.0,1,2026-08-24_08-17-01_coop-occluded-depth-s0,08-17-01_coop-occluded-depth-s0,2,15999,1
0,0,0,0.3279605338627261,0.008420543726940566,0.03171440892703739,-0.00019797240344515687,0.0,1,2026-08-24_08-17-01_coop-occluded-depth-s0,08-17-01_coop-occluded-depth-s0,3,15999,1
0,1,1,0.5413940963811622,0.00024112180739122024,0.0,-0.0001841235175181477,0.0,1,2026-08-24_08-17-01_coop-occluded-depth-s0,08-17-01_coop-occluded-depth-s0,3,15999,1
1,0,0,0.33159904321424793,0.007927045083636064,0.043861655780970205,-0.00019033777440916055,0.0,1,2026-08-24_08-17-01_coop-occluded-depth-s0,08-17-01_coop-occluded-depth-s0,3,15999,1
1,1,1,0.5429871974713901,0.00023480460608205078,0.0,-0.0001841235175181477,0.0,1,2026-08-24_08-17-01_coop-occluded-depth-s0,08-17-01_coop-occluded-depth-s0,3,15999,1
2,0,0,0.3303359202858911,0.008095011994060597,0.007488379456816269,-0.00018412351751820322,0.0,1,2026-08-24_08-17-01_coop-occluded-depth-s0,08-17-01_coop-occluded-depth-s0,3,15999,1
2,1,1,0.5422665967684206,0.00023764127720704575,0.0,-0.0001841235175181477,0.0,1,2026-08-24_08-17-01_coop-occluded-depth-s0,08-17-01_coop-occluded-depth-s0,3,15999,1
3,0,0,0.3283133025707206,0.008371387197420255,0.0,-0.00018412351751811995,0.0,1,2026-08-24_08-17-01_coop-occluded-depth-s0,08-17-01_coop-occluded-depth-s0,3,15999,1
3,1,1,0.5425973789999368,0.00023633491115271354,0.0,-0.0001841235175181477,0.0,1,2026-08-24_08-17-01_coop-occluded-depth-s0,08-17-01_coop-occluded-depth-s0,3,15999,1
4,0,0,0.32945289886499396,0.008214534510690208,0.002103374704194333,-0.00018412351751817546,0.0,1,2026-08-24_08-17-01_coop-occluded-depth-s0,08-17-01_coop-occluded-depth-s0,3,15999,1
4,1,1,0.5408993760026083,0.00024311791489661783,0.0,-0.0001841235175181477,0.0,1,2026-08-24_08-17-01_coop-occluded-depth-s0,08-17-01_coop-occluded-depth-s0,3,15999,1
5,0,0,0.32628686220078407,0.008657706418150668,0.012344372258043135,-0.00017794346315855303,0.0,1,2026-08-24_08-17-01_coop-occluded-depth-s0,08-17-01_coop-occluded-depth-s0,3,15999,1
5,1,1,0.5390572132211753,0.0002506971144411452,0.020598277298233325,-0.00018412351751817546,0.0,1,2026-08-24_08-17-01_coop-occluded-depth-s0,08-17-01_coop-occluded-depth-s0,3,15999,1
6,0,0,0.319482809318756,0.009692293097770088,0.00958586709804568,-0.00018511371982299352,0.0,1,2026-08-24_08-17-01_coop-occluded-depth-s0,08-17-01_coop-occluded-depth-s0,3,15999,1
6,1,1,0.5394007278718457,0.00024926609151909584,0.0,-0.0001841235175181477,0.0,1,2026-08-24_08-17-01_coop-occluded-depth-s0,08-17-01_coop-occluded-depth-s0,3,15999,1
7,0,0,0.32748216306382405,0.008487661723409645,0.0002767415232533543,-0.000184123517518342,0.0,1,2026-08-24_08-17-01_coop-occluded-depth-s0,08-17-01_coop-occluded-depth-s0,3,15999,1
7,1,1,0.5417134539939255,0.00023984196895754373,0.0,-0.0001841235175181477,0.0,1,2026-08-24_08-17-01_coop-occluded-depth-s0,08-17-01_coop-occluded-depth-s0,3,15999,1
0,0,0,0.3376077817403696,0.007174352199307288,0.0,-0.0001841235175181477,0.0,1,2026-08-27_17-42-26_coop-occluded-depth-s0,17-42-26_coop-occluded-depth-s0,2,15999,1
1,0,0,0.3409723462861264,0.00678444189279348,0.0023515983619321057,-0.00018412351751817546,0.0,1,2026-08-27_17-42-26_coop-occluded-depth-s0,17-42-26_coop-occluded-depth-s0,2,15999,1
2,0,0,0.34112774998991285,0.006766951884224048,0.0,-0.0001841235175181477,0.0,1,2026-08-27_17-42-26_coop-occluded-depth-s0,17-42-26_coop-occluded-depth-s0,2,15999,1
3,0,0,0.3367132249614464,0.007281725620974178,0.001876516210522594,0.001876516210522594,0.0,1,2026-08-27_17-42-26_coop-occluded-depth-s0,17-42-26_coop-occluded-depth-s0,2,15999,1
4,0,0,0.33881369355805213,0.00703209958018447,0.0,-0.00018412351751823097,0.0,1,2026-08-27_17-42-26_coop-occluded-depth-s0,17-42-26_coop-occluded-depth-s0,2,15999,1
5,0,0,0.34020694999610235,0.0068712434657698385,0.04863907516809879,0.03938743833164976,0.0,1,2026-08-27_17-42-26_coop-occluded-depth-s0,17-42-26_coop-occluded-depth-s0,2,15999,1
6,0,0,0.32983766157625666,0.008162239905145419,0.013281008274856426,-0.0011071323035337644,0.0,1,2026-08-27_17-42-26_coop-occluded-depth-s0,17-42-26_coop-occluded-depth-s0,2,15999,1
7,0,0,0.34152596224224807,0.006722339659708254,0.007392499498195565,-0.0008587768136185392,0.0,1,2026-08-27_17-42-26_coop-occluded-depth-s0,17-42-26_coop-occluded-depth-s0,2,15999,1
0,0,0,0.33760775474174626,0.007174355416021405,0.0,-0.0001841235175181477,0.0,1,2026-08-27_17-42-26_coop-occluded-depth-s0,17-42-26_coop-occluded-depth-s0,3,15999,1
0,1,1,0.539008006974051,0.0002509027707030542,0.019969347817735184,-0.0001841235175181477,0.0,1,2026-08-27_17-42-26_coop-occluded-depth-s0,17-42-26_coop-occluded-depth-s0,3,15999,1
1,0,0,0.340972369327062,0.00678443929630046,0.05074557781362196,-0.00018412351751820322,0.0,1,2026-08-27_17-42-26_coop-occluded-depth-s0,17-42-26_coop-occluded-depth-s0,3,15999,1
